Device Function,Device Make,Device Model,Device IP Address,Device Description,Upstream Device IP address
IRD,Harmonic,7100,172.16.0.1,,Evertz IP
IRD,Harmonic,7100,172.16.0.2,,Evertz IP
IRD,Harmonic,7100,172.16.0.3,,Evertz IP
IRD,Harmonic,7100,172.16.0.4,,Evertz IP
IRD,Harmonic,7100,172.16.0.5,,Evertz IP
IRD,Harmonic,7100,172.16.0.6,,Evertz IP
IRD,Harmonic,7100,172.16.0.7,,Evertz IP
IRD,Harmonic,7100,172.16.0.8,,Evertz IP
IRD,Harmonic,7100,172.16.0.9,,Evertz IP
IRD,Harmonic,7100,172.16.0.10,,Evertz IP
IRD,Harmonic,7100,172.16.0.11,,Evertz IP
IRD,Harmonic,7100,172.16.0.12,,Evertz IP
IRD,Harmonic,7100,172.16.0.13,,Evertz IP
IRD,Harmonic,7100,172.16.0.14,,Evertz IP
IRD,Harmonic,7100,172.16.0.15,,Evertz IP
IRD,Harmonic,7100,172.16.0.16,,Evertz IP
IRD,Harmonic,7100,172.16.0.17,,Evertz IP
IRD,Harmonic,7100,172.16.0.18,,Evertz IP
IRD,Harmonic,7100,172.16.0.19,,Evertz IP
IRD,Harmonic,7100,172.16.0.20,,Evertz IP
IRD,Harmonic,7100,172.16.0.21,,Evertz IP
IRD,Harmonic,7100,172.16.0.22,,Evertz IP
IRD,Harmonic,8100,172.16.0.23,,Evertz IP
IRD,Harmonic,8100,172.16.0.24,,Evertz IP
IRD,Harmonic,8100,172.16.0.25,,Evertz IP
IRD,Harmonic,7100,172.16.0.26,,Evertz IP
IRD,Synamedia,9800,172.16.0.81,,Evertz IP
IRD,Synamedia,9800,172.16.0.82,,Evertz IP
IRD,Synamedia,9800,172.16.0.83,,Evertz IP
IRD,Synamedia,9800,172.16.0.84,,Evertz IP
IRD,Synamedia,9800,172.16.0.85,,Evertz IP
IRD,Synamedia,9800,172.16.0.86,,Evertz IP
IRD,Synamedia,9800,172.16.0.87,,Evertz IP
IRD,Synamedia,9800,172.16.0.88,,Evertz IP
IRD,Synamedia,9800,172.16.0.89,,Evertz IP
IRD,Synamedia,9800,172.16.0.90,,Evertz IP
IRD,Synamedia,9800,172.16.0.91,,Evertz IP
IRD,Synamedia,9800,172.16.0.92,,Evertz IP
IRD,Synamedia,9800,172.16.0.93,,Evertz IP
IRD,Synamedia,9800,172.16.0.94,,Evertz IP
IRD,Synamedia,9800,172.16.0.95,,Evertz IP
IRD,Synamedia,9800,172.16.0.96,,Evertz IP
IRD,Synamedia,9800,172.16.0.97,,Evertz IP
IRD,Synamedia,9800,172.16.0.98,,Evertz IP
IRD,Synamedia,9800,172.16.0.99,,Evertz IP
IRD,Synamedia,9800,172.16.0.100,,Evertz IP
Evertz NMS,DELL EMC  (PC),VistaLINK PRO,172.16.0.101,,NA
RF Amp,Evertz,7800,172.16.0.102,,NA
RF Amp,Evertz,7800,172.16.0.103,,NA
RF Amp,Evertz,7800,172.16.0.104,,NA
RF Amp,Evertz,7800,172.16.0.105,,NA
RF Amp,Evertz,7800,172.16.0.106,,NA
RF Amp,Evertz,7800,172.16.0.107,,NA
RF Amp,Evertz,7800,172.16.0.108,,NA
RF Amp,Evertz,7800,172.16.0.109,,NA
RF Amp,Evertz,7800,172.16.0.110,,NA
IRD,Ateme,EDGE,172.16.0.191,,Evertz IP
IRD,Ateme,EDGE,172.16.0.192,,Evertz IP
IRD,Ateme,EDGE,172.16.0.193,,Evertz IP
IRD,Ateme,EDGE,172.16.0.194,,Evertz IP
IRD,Ateme,EDGE,172.16.0.195,,Evertz IP
IRD,Ateme,EDGE,172.16.0.196,,Evertz IP
